id_player,player_name,nationality,field_position,position,weight_kg,height_cm,age,id_team,player_image,assists,corners_taken,offsides,dribbles,total_attempts,attempts_on_target,attempts_off_target,blocked,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted,fouls_committed,fouls_suffered,yellow_cards,red_cards,passing_accuracy_percent,passes_attempted,passes_completed,crossing_accuracy_percent,crosses_attempted,crosses_completed,free_kick_taken,saves,goals_conceded,saves_on_penalty,clean_sheets,punches_made,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored,distance_covered_kmph,top_speed,minutes_played,matches_appearance
250200308,Auston Trusty,USA,Defender,,,,26,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250200308.jpg,0,0,0,0,1,0,0,1,20,2,1,1,19,2,2,0,0,97.5,200,194,0.0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,32.21,33.21,276,4
250112186,Silvère Ganvoula,Congo,Forward,,,,28,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112186.jpg,0,0,1,3,9,4,2,3,1,2,0,2,5,6,1,0,0,68.75,38,26,0.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29.85,34.77,276,4
250127284,Joško Gvardiol,Croatia,Defender,CENTRE_BACK,,,22,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250127284.jpg,0,0,0,2,2,1,1,0,12,3,1,2,1,6,0,0,0,96.25,270,260,100.0,1,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,33.42,33.15,275,4
250164991,João Neves,Portugal,Midfielder,UNKNOWN,,,20,52747,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250164991.jpg,0,0,1,5,6,2,4,0,13,6,1,5,4,2,6,0,0,93.25,239,222,0.0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,38.11,31.7,274,4
250196588,Hugo Magnetti,France,Midfielder,UNKNOWN,,,26,2601306,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250196588.jpg,1,1,0,1,6,3,1,2,19,6,1,5,5,5,4,0,0,82.5,119,106,0.0,1,0,2,0,0,0,1,0,1,0,1,1,0,0,0,0,36.09,29.48,272,4
250198240,Lamine Camara,Senegal,Midfielder,,,,20,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250198240.jpg,0,5,0,0,4,0,3,1,18,7,3,4,6,8,11,2,0,82.75,149,125,44.45,9,4,10,0,0,0,1,0,0,0,0,0,0,0,0,0,32.83,33.54,272,4
250104075,Lutsharel Geertruida,Netherlands,Defender,CENTRE_BACK,,,24,2603790,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250104075.jpg,0,0,0,1,0,0,0,0,13,4,2,2,6,4,2,1,0,83.5,113,94,50.0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29.23,31.78,272,4
250064274,Breel Embolo,Switzerland,Forward,STRIKER,84.0,185.0,27,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250064274.jpg,2,0,5,8,8,5,2,1,3,1,0,1,2,7,7,1,0,75.5,63,46,0.0,3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,26.62,32.9,271,4
250041626,Sead Kolašinac,Bosnia and Herzegovina,Defender,FULL_BACK,82.0,183.0,31,52816,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250041626.jpg,1,0,0,1,0,0,0,0,13,3,1,2,1,3,4,0,0,84.75,191,171,0.0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,31.71,32.9,271,4
250081921,Benjamin Pavard,France,Defender,,,,28,50138,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250081921.jpg,0,0,0,1,1,0,1,0,14,3,2,1,9,0,1,0,0,88.75,172,157,0.0,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,31.87,31.81,271,4
250019573,Gernot Trauner,Austria,Defender,CENTRE_BACK,,,32,52749,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250019573.jpg,0,0,2,1,4,0,3,1,26,6,2,4,6,4,1,1,0,88.25,235,212,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31.19,31.59,271,4
103335,Axel Witsel,Belgium,Midfielder,DEFENSIVE_MIDFIELDER,73.0,186.0,35,50124,https://img.uefa.com/imgml/TP/players/1/2025/324x324/103335.jpg,0,0,0,1,0,0,0,0,26,7,1,6,6,3,1,1,0,90.75,158,145,0.0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,31.08,30.32,271,4
250116951,Yann Bisseck,Germany,Defender,UNKNOWN,,,23,50138,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250116951.jpg,0,0,0,5,2,1,0,1,11,1,0,1,15,2,4,0,0,87.5,143,125,0.0,2,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,30.6,32.56,271,4
250145803,Matheus Nunes,Portugal,Midfielder,UNKNOWN,,,26,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250145803.jpg,2,2,2,10,4,2,1,1,13,3,1,2,0,3,2,1,0,92.34,178,164,28.58,14,4,0,0,0,0,2,0,1,1,0,1,0,0,0,1,32.3,35.4,270,3
250132323,Wilfried Singo,Ivory Coast,Defender,,,,23,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250132323.jpg,1,0,2,0,4,1,2,1,31,5,1,4,11,5,3,0,0,84.34,168,144,14.29,7,1,5,0,0,0,1,0,1,0,1,1,0,0,0,0,27.77,35.21,270,3
250043066,Kevin Wimmer,Austria,Defender,CENTRE_BACK,85.0,187.0,31,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250043066.jpg,0,0,0,3,2,1,1,0,11,5,1,4,17,3,4,1,0,70.67,104,77,0.0,1,0,6,0,0,0,0,0,1,1,0,0,1,0,0,0,30.48,31.08,270,3
250063505,José María Giménez,Uruguay,Defender,CENTRE_BACK,76.0,185.0,29,50124,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250063505.jpg,0,0,0,1,3,2,1,0,25,6,3,3,18,1,3,3,0,93.0,216,201,0.0,0,0,4,0,0,0,0,0,1,1,0,0,0,1,0,0,30.28,32.63,270,3
